zip,zcta,year_match,census_edition,state,is_area,is_self_mapped,is_post_office,info,min_match,max_match,year_matches,zcta_matches
00720,00720,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00721,00745,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00723,00723,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00725,00725,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00726,00725,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00727,00727,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00728,00728,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00729,00729,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00730,00730,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00731,00731,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00732,00730,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00733,00730,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00734,00730,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00735,00735,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00736,00736,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00737,00736,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00738,00738,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00739,00739,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00740,00740,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00741,00741,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00742,00735,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00744,00718,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00745,00745,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00751,00751,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00754,00754,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00757,00757,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00765,00765,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00766,00766,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00767,00767,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00769,00769,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00771,00771,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00772,00772,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00773,00773,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00775,00775,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00777,00777,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00778,00778,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00780,00780,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00782,00782,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00783,00783,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00784,00784,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00785,00784,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00786,00786,2021,ZCTA5CE20,PR,False,True,True,Zip matches ZCTA,2009,2021,13,1
00791,00791,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00792,00791,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00794,00794,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00795,00795,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00801,00801,2021,ZCTA5CE20,VI,False,True,True,Zip matches ZCTA,2013,2021,9,1
00802,00802,2021,ZCTA5CE20,VI,True,True,False,Zip matches ZCTA,2013,2021,9,1
00803,00802,2021,ZCTA5CE20,VI,False,False,True,Spatial join to ZCTA,2013,2021,9,1
00804,00802,2021,ZCTA5CE20,VI,False,False,True,Spatial join to ZCTA,2013,2021,9,1
00805,00802,2021,ZCTA5CE20,VI,False,False,True,Spatial join to ZCTA,2013,2021,9,1
00820,00820,2021,ZCTA5CE20,VI,True,True,False,Zip matches ZCTA,2013,2021,9,1
00821,00820,2021,ZCTA5CE20,VI,False,False,True,Spatial join to ZCTA,2013,2021,9,1
00822,00820,2021,ZCTA5CE20,VI,False,False,True,Spatial join to ZCTA,2013,2021,9,1
00823,00823,2021,ZCTA5CE20,VI,False,True,True,Zip matches ZCTA,2013,2021,9,1
00824,00824,2021,ZCTA5CE20,VI,False,True,True,Zip matches ZCTA,2013,2021,9,1
00830,00830,2021,ZCTA5CE20,VI,True,True,False,Zip matches ZCTA,2013,2021,9,1
00831,00831,2021,ZCTA5CE20,VI,False,True,True,Zip matches ZCTA,2013,2021,9,1
00840,00840,2021,ZCTA5CE20,VI,True,True,False,Zip matches ZCTA,2013,2021,9,1
00841,00841,2021,ZCTA5CE20,VI,False,True,True,Zip matches ZCTA,2013,2021,9,1
00850,00850,2021,ZCTA5CE20,VI,True,True,False,Zip matches ZCTA,2013,2021,9,1
00851,00851,2021,ZCTA5CE20,VI,False,True,True,Zip matches ZCTA,2013,2021,9,1
00901,00901,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00902,00901,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00906,00906,2021,ZCTA5CE20,PR,False,True,True,Zip matches ZCTA,2009,2021,13,1
00907,00907,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00908,00907,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00909,00909,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00910,00909,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00911,00911,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00912,00912,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00913,00913,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00914,00911,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00915,00915,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00916,00915,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,2
00917,00917,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00918,00918,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00919,00918,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,1
00920,00920,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00921,00921,2021,ZCTA5CE20,PR,True,True,False,Zip matches ZCTA,2009,2021,13,1
00922,00968,2021,ZCTA5CE20,PR,False,False,True,Spatial join to ZCTA,2009,2021,13,3
